Country,Year,Survey,Valid records,Median log welfare,MAD log welfare,Robust scale (1.4826*MAD),outdetect threshold (PPP/day),Records flagged (top),Population share flagged (%),Welfare share flagged (%),mean_ppp_day original,mean_ppp_day outdetect-capped,mean_ppp_day change (%),gini original,gini outdetect-capped,gini change (%),mld original,mld outdetect-capped,mld change (%),atkinson_2 original,atkinson_2 outdetect-capped,atkinson_2 change (%)
SVK,2005,HBS,4402,2.5960040283920645,0.32211365298415284,0.477565701914305,56.187883306990145,61,0.9709098621790274,5.964140993148982,15.739476159744871,15.346285310371826,-2.4981190312970303,0.29834424990203134,0.2804357993751915,-6.0026129321146815,0.15149236266608224,0.12976004528678864,-14.345487123463595,0.24609183421977432,0.22717641790152854,-7.68632424485618
PRT,2007,EU-SILC,3909,3.1532211211347065,0.41435530468901716,0.6143231747319368,147.84887620115666,50,0.9288147186607026,5.96167651914353,31.310593009780746,30.817198861842837,-1.5758058232361982,0.38060779839531744,0.37074747285067744,-2.5906788001223813,0.24455318945743576,0.23107794387265246,-5.510149188681368,0.37906464669408746,0.3692778420610565,-2.5818299644622567
PER,1985,ENNIV,4993,2.2056119444619133,0.5233858688304458,0.775971889128019,93.08635510611768,39,0.5207752110999516,5.957411382547522,13.350960563855951,13.040359581854501,-2.3264317238889665,0.45634982430489346,0.4434516027632539,-2.826389067046531,0.362946674222385,0.34149281485660987,-5.91102244199927,0.5075121559442348,0.4958353548051663,-2.300792405128438
ZMB,2015,LCMS-VII,12141,0.475074964852614,0.6963404100212203,1.0323942918974611,35.596874552862594,132,0.29474266715546577,5.954649844977121,2.9744158739308904,2.9022190011859825,-2.42726221903512,0.5593663590210343,0.5484373286382885,-1.9538233228528434,0.5737052328289636,0.5504272195761928,-4.057486653553077,0.6584514808255841,0.649964230996303,-1.2889711810868176
PHL,1988,FIES,17812,1.1791202811462875,0.462782279808727,0.6861210080444186,25.46954195897853,303,0.6698273181440721,5.951668179851262,4.582408113363443,4.480280337656874,-2.2286922766381223,0.40746267432387206,0.39401237447866444,-3.3009894384869787,0.27332250467020813,0.2532852105911809,-7.331007778962173,0.3852988364010601,0.3714118161210008,-3.604220664088431
UZB,2000,HBS,9704,0.22929704595016548,0.3905003919860383,0.5789558811585004,7.143227388544212,127,0.8662808966713441,5.930787024567118,1.5871867270338604,1.5549344768440387,-2.0320388042870507,0.361028142152213,0.3478487717759047,-3.65051053852522,0.22365451145829524,0.20606418726622083,-7.864953886858872,0.36264794089888697,0.3496323611426748,-3.5890400270716327
BOL,2000,ECH,3676,1.7724845613975917,0.8025011913240316,1.1897882662570092,208.89868218067076,11,0.24158965306644928,5.898294369843393,11.101870988186848,10.951727558284015,-1.3524155528612858,0.6146686007604476,0.6093974715540531,-0.8575562831537598,0.862818917496964,0.8497296686094891,-1.5170331366223255,0.8895486818285003,0.8880347125123226,-0.17019521776657776
CRI,2010,ENAHO,10946,2.700800538523784,0.5516953347787314,0.8179435033429472,173.23188081366763,79,0.49518725976975975,5.888542797291909,23.223044946708576,22.713368209836123,-2.1947024519912928,0.47952509237311824,0.46789718130673985,-2.4248806269622114,0.40493161175475256,0.3847353145500345,-4.987582253012635,0.5550047899477281,0.5450588600959545,-1.7920439664512289
VEN,2005,EHM,10559,1.9366425820881834,0.5658809672992677,0.8389751221178943,85.93300219888484,148,0.3722706455985634,5.886756408251377,9.957903645016858,9.691609456134348,-2.6741992930989,0.4763304666796697,0.46197700074772907,-3.0133419833489827,0.44431672176553283,0.41888796319173616,-5.723115365263142,0.6858121990381927,0.677192818917272,-1.256813473573204
FRA,2008,EU-SILC,7192,3.8370964046445915,0.34647963770865964,0.5136907108668588,216.62517096255326,148,0.9885968324924076,5.884381931953068,56.866433883449716,55.66174530118302,-2.1184528376366307,0.3242548126806435,0.30971867062380976,-4.482937951379085,0.17628467318199803,0.1585461571071387,-10.062426729830277,0.2908521795052169,0.27586884754269314,-5.15152817077481
IDN,2021,SUSENAS,336378,1.724829496963709,0.3927949383957332,0.582357775665514,32.19795122457945,2946,0.8666954383551568,5.8836278988607695,7.2603367120857545,7.112223690249495,-2.040029653028441,0.35504763215410795,0.3416898744874586,-3.7622438391171853,0.2058727758968124,0.18831669714550325,-8.527634931249295,0.3102824963999261,0.29616737870423404,-4.549118258188489
PRT,2022,EU-SILC,11564,3.375514861244877,0.36623127206110695,0.5429744839577971,149.07332710600048,183,1.0341302009424047,5.88233601648554,36.54953544968942,35.94118125922701,-1.6644649048954796,0.34592035097132356,0.33492695533445715,-3.1780135531192744,0.2070649908394353,0.1932721795264003,-6.661102515263129,0.3777837780161739,0.3674784406489723,-2.7278400944892978
ZMB,1996,LCMS-I,11722,0.8460741950021944,0.571668762173718,0.8475561067987543,29.62867123727388,178,0.42870676669337143,5.866307022036421,3.6190541333351183,3.5337694250555067,-2.3565469080457757,0.48333682561018154,0.47090815449469703,-2.5714306166913947,0.40477871297961476,0.3826902184813622,-5.456930858754172,0.5252541434658153,0.5138319258886113,-2.174607800680295
