Country,Year,Survey,Valid records,LIS ceiling (PPP/day),outdetect threshold (PPP/day),Population affected (%) - LIS,Population affected (%) - outdetect,Welfare affected (%) - LIS,Welfare affected (%) - outdetect,Mean (PPP/day) - Raw,Mean (PPP/day) - LIS-capped,Mean (PPP/day) - Change (%) LIS,Mean (PPP/day) - outdetect-capped,Mean (PPP/day) - Change (%) outdetect,Gini - Raw,Gini - LIS-capped,Gini - Change (%) LIS,Gini - outdetect-capped,Gini - Change (%) outdetect,MLD - Raw,MLD - LIS-capped,MLD - Change (%) LIS,MLD - outdetect-capped,MLD - Change (%) outdetect,Atkinson(2) - Raw,Atkinson(2) - LIS-capped,Atkinson(2) - Change (%) LIS,Atkinson(2) - outdetect-capped,Atkinson(2) - Change (%) outdetect
NOR,2005,EU-SILC,5960,358.44254799009195,193.639696356183,0.19390728362461102,0.7241939757294987,7.750450730627218,10.090848421044942,56.011343907337306,52.36525850239939,-6.5095481568338,51.761651110690075,-7.587200199441268,0.315251929022241,0.2676085702068196,-15.112788988536252,0.2591174949342242,-17.806214306798573,0.2005364376905998,0.13539925189360114,-32.48147147078399,0.12622024958159717,-37.0586956489485,0.9799412930176358,0.9785447159716838,-0.14251639928871684,0.9782947623573246,-0.1680233981406043
COM,2004,EIM,2987,178.87545289874745,67.94970624206559,0.190016279198904,1.3704667532731947,7.614487639622767,20.024632565778212,8.68719793956448,8.36560480622517,-3.701920176984408,7.878846604899147,-9.30508709815192,0.559251601662275,0.5423277325102456,-3.0261637341272407,0.5144507924277013,-8.010850411766612,0.5467120006823136,0.5097512277627507,-6.760556357540115,0.45481451769224246,-16.809121233003886,0.589956387361422,0.5741969811487282,-2.6712832592893254,0.5479798369260366,-7.1151955186256055
MMR,2015,MPLCS,3648,67.32987378704806,29.813647743572595,0.27278608225283874,0.743706745484928,7.422400880498472,10.279696288156332,6.414801572006169,6.122335808532823,-4.559233207612379,5.977105562260121,-6.823219780579482,0.3806850928508574,0.35115999522282904,-7.755779824978736,0.33549807151279243,-11.869921409233664,0.2505118190435618,0.20594629146896115,-17.789790415777183,0.18532488558928906,-26.02150018436348,0.3449080901034578,0.3136690420048994,-9.057209440691283,0.2972385291678584,-13.820946015299473
PRY,2007,EPH,4308,459.05567946661716,152.87965546684885,0.08989450810481527,0.2623073025957827,7.168215680420118,10.35960914566327,14.013723750371584,13.421855652070425,-4.2234891228355,12.962971243552921,-7.498024975630058,0.5303030299273098,0.5096150448981507,-3.9011628939768506,0.4923128572306531,-7.163861142159444,0.5136277770097624,0.47116786990357973,-8.266668783642439,0.43817273711762184,-14.690607336586158,0.6154254523937741,0.5984689104022294,-2.75525523450324,0.5842721403970859,-5.062077279305488
NOR,2006,EU-SILC,5731,363.536575920944,199.10372436073158,0.4381308425036539,0.9142761983491232,7.041738395782076,9.252932362457756,57.37065207343314,54.923526701359016,-4.265465501319143,53.882542403034215,-6.079954723077274,0.30564799150291433,0.27477458411459854,-10.100968514959607,0.26089250783342166,-14.64281948964351,0.18047532519145282,0.13974741971782123,-22.567021519660035,0.12457766983529917,-30.97246412874225,0.9720430519510792,0.9707976515402309,-0.1281219394911104,0.9702342187222819,-0.18608571144731467
MOZ,2002,IAF,8697,26.419828252900725,13.028886753071646,0.25375297008326597,0.841917557453331,6.765720640630797,12.503017674047664,1.7691997865673943,1.7165417703162416,-2.9763747797709073,1.6576889096784808,-6.3028990697125975,0.4703906960369141,0.454174429033249,-3.447403858173359,0.43497022673616037,-7.530010605901538,0.380030994576405,0.35097206943489856,-7.646461882377897,0.31940744934707693,-15.952263392858534,0.4788475555343459,0.46287538598035616,-3.3355437172831293,0.44390596895060963,-7.29701680208954
PRY,2014,EPH,4522,558.4511872399801,176.0628389574695,0.152100114435331,0.5315532622500607,6.502568845166093,10.816181928370055,20.109122324188277,19.650917695756746,-2.278590885492693,18.869950833494098,-6.162235580036435,0.5070264508589479,0.49554502921224663,-2.2644620664761694,0.47476598921176727,-6.3626782375019175,0.45992999235542165,0.43738733534776797,-4.901323545395863,0.39949623724079464,-13.139772599984179,0.5723825987947915,0.5624142322338409,-1.741556536124611,0.5443437577993379,-4.898618695692736
RWA,2005,EICV-II,6900,52.38698482178134,19.174022232821102,0.19100566267408678,1.1830079758313712,6.136862254139729,16.354679562157095,2.737332963386077,2.6694087174997287,-2.481402401347843,2.5164811409769388,-8.068138781916566,0.5203941409755328,0.5082099881325531,-2.341331672208924,0.47868806032995936,-8.014325558583558,0.46769560254062825,0.4433728924059793,-5.200542832244404,0.389751237716515,-16.665618492177792,0.5428937059232259,0.5312687535965325,-2.141294363861612,0.5029097690206041,-7.36496600833243
CAF,2008,ECASEB,6894,113.49041424331517,32.2500447390021,0.07773560095471116,0.5192443186170104,5.465743904644766,13.402997904232395,3.038541222947998,2.960684796802632,-2.5622961952061263,2.7987421315757532,-7.891915026895424,0.5623660815101582,0.5508655623436036,-2.0450236144526124,0.5250338160564488,-6.638427650803303,0.5706369586184659,0.5450615169369293,-4.4819111863093735,0.4918632554681255,-13.804521764775723,0.6318983263875644,0.6222193477887845,-1.5317303741113952,0.600388476366905,-4.9865379768917695
RWA,2013,EICV-IV,14415,43.408236299896565,14.881028034914612,0.24504004369940074,1.6414662231409647,5.373057651327079,15.258923163778256,3.102005733707974,3.041700738486779,-1.9440645955579705,2.8729401111147395,-7.384435821768188,0.4511283189030396,0.4402698797267355,-2.406951353155451,0.40785869347141934,-9.59142302057968,0.34179946695129015,0.3231358799629743,-5.460390899607681,0.27354837306827373,-19.96816861412569,0.4354264214942348,0.42424989888640563,-2.5667993617555784,0.3908145004632645,-10.245570509450818
