Country,Year,Survey,Valid records,LIS ceiling (PPP/day),LIS population share above ceiling (%),LIS welfare share above ceiling (%)
ARG,2005,EPHC-S2,23983,1138.5498188647343,0.0,0.0
ARG,2006,EPHC-S2,32418,1124.3485800317208,0.006013380570750555,0.9669997235202528
ARG,2007,EPHC-S2,15375,1170.067310062294,0.0,0.0
ARG,2008,EPHC-S2,31488,1093.5316493441774,0.013346889407847543,0.6720801847994603
ARG,2009,EPHC-S2,30857,1042.4346927530082,0.00046935999581086,0.037155692332021116
ARG,2010,EPHC-S2,30843,958.9515901139414,0.0038724923032698037,0.150567544312103
ARG,2011,EPHC-S2,30077,980.4096788439208,0.0,0.0
ARG,2012,EPHC-S2,29011,905.1570372365488,0.0,0.0
ARG,2013,EPHC-S2,29413,916.6726246214052,0.0002497167957917101,0.00809982993421659
ARG,2014,EPHC-S2,32626,893.5447306485721,0.00030974155315897857,0.014565487904460642
ARG,2016,EPHC-S2,32117,915.5439072312719,0.004901980658184889,0.2448475174508844
ARG,2017,EPHC-S2,32248,867.7517480840032,0.0,0.0
ARG,2018,EPHC-S2,31751,815.6812818314756,0.0,0.0
ARG,2019,EPHC-S2,32258,911.6704994091698,0.0006084721094532441,0.036993594206204225
ARG,2020,EPHC-S2,24594,835.8730104598486,0.0012388677322865624,0.053777029355362764
ARG,2021,EPHC-S2,28897,734.1322170506727,0.02106109420484815,1.106920109681268
ARG,2022,EPHC-S2,28913,619.5572142971573,0.0,0.0
ARM,1999,ILCS,3599,57.8576929664366,0.06574261765189283,1.329043091495469
ARM,2001,ILCS,4037,47.59888963108146,0.04860843178819704,0.6405583098626526
ARM,2002,ILCS,4633,46.13478120140963,0.15654351909830932,1.9163125352114012
ARM,2003,ILCS,4640,41.244648349472605,0.27558236272878534,3.4011291605679723
ARM,2004,ILCS,6816,59.57910332419867,0.2911463448856461,4.525535041382767
ARM,2005,ILCS,5187,59.84460315602307,0.30591542429941637,4.304552410638207
ARM,2006,ILCS,5184,58.61893506710474,0.08682064933784378,0.8874585088599837
ARM,2007,ILCS,7870,75.77269124565784,0.021631492979976054,0.250616586825661
ARM,2008,ILCS,7872,72.88216691225574,0.06608485566684437,0.9262797863085476
ARM,2009,ILCS,7869,57.002514403552226,0.03041533687730955,0.33887809594844137
ARM,2010,ILCS,7869,58.071752605885166,0.12578040306194227,1.8127692308041656
ARM,2011,ILCS,7871,64.49602846973724,0.045133403426682435,0.5128141021152673
ARM,2012,ILCS,5184,63.47851722244989,0.06544219773991763,0.6478309999562631
ARM,2013,ILCS,5182,71.88520665777122,0.09281617805888559,1.549073943916756
ARM,2014,ILCS,5184,76.9756244141352,0.05863845603922446,0.6796417446118574
ARM,2015,ILCS,5184,82.34849391510386,0.0806341898287021,0.9127471964450212
ARM,2016,ILCS,5183,120.84196469592497,0.1763092140241507,3.287887028508201
ARM,2017,ILCS,7772,74.70213970570099,0.2853088479226523,4.249374283602743
ARM,2018,ILCS,5177,72.33189387140142,0.22922355531719693,2.864522656294066
ARM,2019,ILCS,5165,61.27408479658238,0.17226325586215832,2.282740419225575
ARM,2020,ILCS,5183,46.32084808195016,0.09506520078361784,0.7578731599275697
ARM,2021,ILCS,5183,53.39327730905974,0.1415117607348577,1.398528294410627
ARM,2022,ILCS,5184,59.84733110195396,0.07045789935718158,0.7325146646608159
AUT,2004,EU-SILC,4335,490.3483791644406,0.041329943525348134,0.6156354302121119
AUT,2005,EU-SILC,4995,538.3789316925877,0.01807294739860771,0.23625911064759011
AUT,2006,EU-SILC,5705,493.91123163399266,0.0,0.0
AUT,2007,EU-SILC,6432,491.98709661193664,0.05007645437787863,0.6645385939207101
AUT,2008,EU-SILC,5673,597.2716793424181,0.026376377079973704,0.4293867604883641
AUT,2009,EU-SILC,5845,535.0957598598752,0.034736505870419744,0.44103109364388565
AUT,2010,EU-SILC,6173,604.8976115882575,0.05550496913010577,0.7010001008604431
AUT,2011,EU-SILC,6144,620.9578334434387,0.02167299938367497,0.2647875924773539
