"Country","Year","Survey","Valid records","LIS ceiling (PPP/day)","outdetect threshold (PPP/day)","Population affected (%) - LIS","Population affected (%) - outdetect","Welfare affected (%) - LIS","Welfare affected (%) - outdetect","Mean (PPP/day) - Raw","Mean (PPP/day) - LIS-capped","Mean (PPP/day) - Change (%) LIS","Mean (PPP/day) - outdetect-capped","Mean (PPP/day) - Change (%) outdetect","Gini - Raw","Gini - LIS-capped","Gini - Change (%) LIS","Gini - outdetect-capped","Gini - Change (%) outdetect","MLD - Raw","MLD - LIS-capped","MLD - Change (%) LIS","MLD - outdetect-capped","MLD - Change (%) outdetect","Atkinson(2) - Raw","Atkinson(2) - LIS-capped","Atkinson(2) - Change (%) LIS","Atkinson(2) - outdetect-capped","Atkinson(2) - Change (%) outdetect"
"MOZ",2014,"IOF",32454,63.7909295041793,35.0397313029553,0.189009546093032,0.499552306740975,8.03678531002836,12.9881439844383,2.86985079677352,2.75977799582307,-3.83548862798726,2.67215222914977,-6.88880996343116,0.539889914426834,0.521568468535719,-3.39355216712376,0.505987180605169,-6.27956420665068,0.511032512470043,0.472890856818432,-7.46364560392749,0.442538133926217,-13.4031351963817,0.625246823576613,0.610304223565831,-2.38987219883913,0.597543848081535,-4.43072630687005
"BFA",1998,"EP-II",8324,26.0147000753795,19.3446115609578,0.285571890011769,0.522710002740921,7.90441908222986,10.6534942679946,1.92779219861173,1.84970209488508,-4.0507531767628,1.82353118685429,-5.40831173777583,0.499439698912732,0.478344343650155,-4.22380425675031,0.470916120417888,-5.71111558751532,0.427856379733149,0.387952388057977,-9.32649215142234,0.374884218960605,-12.3808276051842,0.509014618967136,0.488303523636361,-4.06886061009423,0.48098616244414,-5.50641484126125
"NOR",2005,"EU-SILC",5960,358.442547990092,189.587805804871,0.193907283624611,0.750401454395634,7.75045073062722,10.1811152489934,56.0113439073373,52.3652585023994,-6.5095481568338,51.7314340837378,-7.64114824789783,0.315251929022241,0.267608570206819,-15.1127889885363,0.258689092170186,-17.9421065011357,0.2005364376906,0.1353992518936,-32.4814714707844,0.125794018474517,-37.2712411154923,0.979941293017636,0.978544715971684,-0.142516399288717,0.978282104121395,-0.169315132249581
"COM",2004,"EIM",2987,178.875452898747,66.9551767989343,0.190016279198904,1.40960663564664,7.61448763962276,20.3288638950524,8.68719793956448,8.36560480622517,-3.70192017698445,7.86499390920334,-9.46454813256347,0.559251601662275,0.542327732510246,-3.02616373412723,0.513620126414322,-8.15938213003267,0.546712000682314,0.509751227762751,-6.76055635754015,0.453260139878441,-17.0934350603684,0.589956387361422,0.574196981148728,-2.67128325928933,0.547188599784959,-7.24931342259755
"MMR",2015,"MPLCS",3648,67.3298737870481,31.1377261862893,0.272786082252839,0.647068527057139,7.42240088049847,9.82440728879619,6.41480157200617,6.12233580853282,-4.55923320761238,5.98606776499689,-6.68350847951789,0.380685092850857,0.351159995222828,-7.75577982497872,0.336482798414436,-11.6112491049756,0.250511819043562,0.205946291468961,-17.7897904157771,0.186528927527633,-25.5408673970796,0.344908090103458,0.313669042004899,-9.05720944069128,0.29826220475723,-13.524149384909
"PRY",2007,"EPH",4308,459.055679466617,153.681137960112,0.0898945081048153,0.251813647679625,7.16821568042012,10.2448027015575,14.0137237503716,13.4218556520704,-4.2234891228355,12.9650354802976,-7.4832948669061,0.53030302992731,0.509615044898151,-3.90116289397685,0.492393278744337,-7.14869594242543,0.513627777009762,0.471167869903579,-8.26666878364253,0.438318498009687,-14.6622286353965,0.615425452393774,0.598468910402229,-2.75525523450324,0.584338133966126,-5.05135403593238
"NOR",2006,"EU-SILC",5731,363.536575920944,193.900751783773,0.438130842503654,0.965873744986416,7.04173839578208,9.42975327115638,57.3706520734331,54.923526701359,-4.26546550131913,53.8335775856656,-6.1653029204552,0.305647991502914,0.274774584114598,-10.1009685149597,0.260228810374526,-14.8599638770912,0.180475325191453,0.139747419717821,-22.56702151966,0.12391776275798,-31.3381136027738,0.972043051951079,0.970797651540231,-0.12812193949111,0.970207205611236,-0.188864715010151
"MOZ",2002,"IAF",8697,26.4198282529007,14.1554073284634,0.253752970083266,0.711927679172299,6.7657206406308,11.509869933641,1.76919978656739,1.71654177031624,-2.97637477977093,1.66634345513815,-5.8137205424837,0.470390696036914,0.454174429033249,-3.44740385817338,0.437864826518689,-6.91464984155919,0.380030994576405,0.350972069434898,-7.64646188237793,0.323976818512093,-14.7498958938316,0.478847555534346,0.462875385980356,-3.33554371728313,0.446770181736537,-6.69886969810534
"PRY",2014,"EPH",4522,558.45118723998,183.933682025759,0.152100114435331,0.459519555564753,6.50256884516609,10.1756975087631,20.1091223241883,19.6509176957567,-2.27859088549269,18.9080901029904,-5.97257404791475,0.507026450858948,0.495545029212247,-2.26446206647617,0.475815632735305,-6.15565875720465,0.459929992355421,0.437387335347768,-4.90132354539577,0.40130332130118,-12.7468684427382,0.572382598794791,0.562414232233841,-1.74155653612461,0.545258246171729,-4.73884997205993
"RWA",2005,"EICV-II",6900,52.3869848217813,19.2681573526139,0.191005662674087,1.18300797583137,6.13686225413973,16.3546795621571,2.73733296338608,2.66940871749973,-2.48140240134783,2.51759476695215,-8.02745589860996,0.520394140975533,0.508209988132553,-2.34133167220895,0.478913423140743,-7.971019381008,0.467695602540628,0.443372892405979,-5.20054283224438,0.39013573500982,-16.5834074790281,0.542893705923226,0.531268753596533,-2.14129436386159,0.503127777026851,-7.32480934343307
"CAF",2008,"ECASEB",6894,113.490414243315,31.99159504265,0.0777356009547112,0.521218631615554,5.46574390464477,13.4238544440321,3.038541222948,2.96068479680263,-2.56229619520613,2.79739802587084,-7.93615025710279,0.562366081510158,0.550865562343604,-2.0450236144526,0.524808101121525,-6.67856430597233,0.570636958618466,0.545061516936929,-4.48191118630937,0.491424732301518,-13.8813697782078,0.631898326387564,0.622219347788785,-1.5317303741114,0.600197051850578,-5.01683153969034
"RWA",2013,"EICV-IV",14415,43.4082362998966,15.8112653306149,0.245040043699401,1.4800825043792,5.37305765132708,14.4623201706103,3.10200573370797,3.04170073848678,-1.94406459555797,2.88740350466784,-6.91817641431653,0.45112831890304,0.440269879726736,-2.40695135315544,0.410746854861926,-8.95121462099856,0.34179946695129,0.323135879962974,-5.46039089960768,0.277626837988877,-18.7749353545827,0.435426421494235,0.424249898886406,-2.56679936175561,0.393800707481149,-9.55975842491158
