"Country","Year","Survey","Valid records","Median log welfare (unweighted)","S estimate, log space (unweighted, 1.1926 scaled)","outdetect threshold (PPP/day)","Records flagged (top)","Population share flagged (%)","Welfare share flagged (%)","mean_ppp_day original","mean_ppp_day outdetect-capped","mean_ppp_day change (%)","gini original","gini outdetect-capped","gini change (%)","mld original","mld outdetect-capped","mld change (%)","atkinson_2 original","atkinson_2 outdetect-capped","atkinson_2 change (%)"
"RUS",2019,"HBS",189390,2.79281022868422,0.496039404861715,72.3075423031434,1268,3.07883206509403,14.9003401759192,23.8060984804207,22.4851366221343,-5.54883808185884,0.377368619238659,0.341646262485123,-9.46617045837201,0.235483101105379,0.190695623282684,-19.0194020770317,0.347559630905898,0.310584924277653,-10.6383778035073
"CHL",2009,"CASEN",39115,2.32911990209821,0.710145112834107,86.4490515165413,520,1.83937715764338,14.8536755987033,17.1837363867731,16.2214440347401,-5.60001812396115,0.473293826358263,0.442506035229831,-6.50500585763538,0.383746532805139,0.333344956055503,-13.1340800348624,0.509558306869116,0.480730558519071,-5.65739935183713
"RUS",2007,"HBS",192813,2.49700491504912,0.582214254697955,69.6614917295015,1151,2.97761533855526,14.7716576959908,20.2234980094663,19.3104033721564,-4.51501830634061,0.42272473020103,0.39612545751921,-6.29233891028108,0.298935704021333,0.26242288037001,-12.2142732233541,0.426704049010607,0.400352151830186,-6.17568481984703
"CHL",1994,"CASEN",31425,2.024784520809,0.897312170618608,111.801058968335,312,0.909931072599561,14.4668323700901,14.0082153164197,12.9989828636002,-7.20457552959304,0.562664771599815,0.528907684794014,-5.99950245859898,0.567004636875255,0.496357587881067,-12.4596951064672,0.652039584175116,0.625069142576585,-4.13631967339082
"RWA",2013,"EICV-IV",14415,0.774185505265805,0.66217905877168,15.8112653306149,315,1.4800825043792,14.4623201706103,3.10200573370797,2.88740350466784,-6.91817641431653,0.45112831890304,0.410746854861926,-8.95121462099856,0.34179946695129,0.277626837988877,-18.7749353545827,0.435426421494235,0.393800707481149,-9.55975842491158
"CHL",1992,"CASEN",29349,1.96974311508182,0.889252737770835,103.285947225305,331,1.01142663473298,14.2156983506002,12.4642089507782,11.7369961847201,-5.83440769430257,0.547207112707369,0.519436281122277,-5.07501290465562,0.526032640644166,0.47042599130997,-10.5709503627193,0.613827781894191,0.589962851133097,-3.8878870368901
"CHL",1998,"CASEN",41015,2.17341950513219,0.869675981977209,119.396209122755,414,1.07456725983831,14.177310031712,16.232127292454,15.2138408541819,-6.27327780226016,0.554413385490895,0.52488633015729,-5.32581934461429,0.550069316717739,0.490365664436142,-10.8538415917921,0.655910521917584,0.632940803742045,-3.50195909472317
"PRY",2002,"EPH",3730,2.09945511194554,1.01711079383645,172.567332467278,19,0.304430474955796,13.9931319330527,12.0427834645846,10.8829684358221,-9.63078869742425,0.572529655917799,0.527057885482405,-7.94225591030745,0.613496503143009,0.51441010611047,-16.1510940200813,0.673381883128439,0.638583285748196,-5.16773590916556
"ECU",1999,"ECV",4980,1.6990109147812,1.04132807421055,124.336939852657,39,0.490673727182443,13.9080955817953,8.52493372510951,7.94936649137619,-6.7515742912819,0.585407527414361,0.555562476745204,-5.09816653724591,0.661723988208452,0.594571437350167,-10.1481209771605,0.759963910311956,0.742592332689258,-2.28584244422438
"RUS",2011,"HBS",186707,2.75060695714307,0.538287685738855,78.6863749778442,1273,2.91159050289653,13.7568192289257,23.8616322068672,22.8700556200258,-4.15552707478246,0.397493144058825,0.371966553162546,-6.42189463587358,0.261405790111441,0.228203102609792,-12.701588395381,0.383449682843203,0.357583035334144,-6.74577360900713
"RUS",2018,"HBS",190827,2.76284973665874,0.499185839181764,70.8388269906531,1215,2.82251471662193,13.505536939722,22.8660020210028,21.7772619883122,-4.76139218255364,0.374730062162656,0.344137307566306,-8.16394457914373,0.231616223069836,0.193495546073276,-16.4585522081782,0.345441143041388,0.313879587019319,-9.13659436863517
"CAF",2008,"ECASEB",6894,0.740981976566182,0.908163745605504,31.99159504265,47,0.521218631615554,13.4238544440321,3.038541222948,2.79739802587084,-7.93615025710279,0.562366081510158,0.524808101121525,-6.67856430597233,0.570636958618466,0.491424732301518,-13.8813697782078,0.631898326387564,0.600197051850578,-5.01683153969034
"RUS",2020,"HBS",189215,2.79118167703535,0.480614765079515,68.9254835356621,1289,2.83410419354961,13.2256349189549,22.6284779592482,21.5891380959504,-4.59306129722712,0.360682420798648,0.330507897986835,-8.3659532796189,0.214279913848742,0.177625678699993,-17.1057727672145,0.323175637389617,0.291809493193062,-9.70560295011954
"RUS",2005,"HBS",186804,2.29490165148268,0.585294225405237,57.4424931200358,935,2.64891144777257,13.0834551154256,16.0156905867257,15.4418856735286,-3.58276722499054,0.412656055625771,0.39127386750414,-5.18160047093126,0.287201610104683,0.258123225587107,-10.1247289341371,0.422981079200753,0.402102837574151,-4.93597530793878
