hhid,subnatid,urban,hsize,weight,welfare_ppp_day,predicted_welfare_ppp_day,in_sample_predicted_welfare_ppp_day,actual_to_predicted_ratio,log_residual_crossfit,standardized_log_residual,inconsistency_flag,direction
50512147045.0,305 – Blantyre City,Urban,6,1180.1187,45.611235277161384,6.810139477239291,6.8903624331437525,6.6975478886449125,1.9017414726380015,3.295164700376103,True,reported welfare unusually high
50504101015.0,305 – Blantyre City,Urban,4,786.7458,52.28036697549239,7.842772794551549,7.891197511847249,6.666056552321913,1.897028463546218,3.286998426770967,True,reported welfare unusually high
70703007008.0,307 – Zomba City,Urban,5,297.52118,29.089324303934855,4.388713491663459,4.276383253186975,6.62821219913107,1.8913351146117372,3.2771335094277063,True,reported welfare unusually high
272727021154.0,227 – Dowa,Rural,7,1313.7996,17.49408763646986,2.640984449528719,2.6219847976825963,6.624078244607484,1.8907112293029713,3.276052497693931,True,reported welfare unusually high
50511139021.0,305 – Blantyre City,Urban,3,590.0593,55.584786185831746,8.54714220852898,8.631150530805476,6.503318282263407,1.872312551601865,3.244172941946438,True,reported welfare unusually high
232347801342.0,223 – Lilongwe Rural,Rural,5,1053.7969,15.292723770276615,2.387487045643919,2.4023500960079702,6.405364082782731,1.857135777258963,3.2178760073736576,True,reported welfare unusually high
40441027047.0,304 – Blantyre Rural,Rural,3,455.21625,14.830290229805442,2.316915273797162,2.3163284707642613,6.40087723428068,1.8564350488290422,3.2166618488668117,True,reported welfare unusually high
242403135069.0,224 – Lilongwe City,Urban,2,522.1232,85.8237985578082,13.417434250857378,13.04928905900278,6.396438913223967,1.8557414156979224,3.21545998444856,True,reported welfare unusually high
121203001159.0,312 – Mangochi,Rural,2,421.3189,15.525903253622937,2.4385740258276063,2.417898656745204,6.366795959107182,1.8510963538914458,3.207411443721026,True,reported welfare unusually high
303034065178.0,130 – Mzimba,Rural,6,1390.7949,18.109321961982314,2.8507055628574687,2.837430299090513,6.352575375701035,1.848860301659463,3.2035370157353937,True,reported welfare unusually high
242410069096.0,224 – Lilongwe City,Urban,2,522.1232,80.4716253236297,12.821305663941715,13.04928905900278,6.27639863153297,1.8367963496690023,3.182633696689164,True,reported welfare unusually high
50511139061.0,305 – Blantyre City,Urban,2,393.3729,60.2449104787342,9.607646318865184,9.692441390011416,6.270517094331391,1.8358588224294983,3.1810092347369467,True,reported welfare unusually high
70703007353.0,307 – Zomba City,Urban,2,119.00848,35.490090457746206,5.67319612140816,5.653180555195201,6.255748910886781,1.8335008667097337,3.1769235834722456,True,reported welfare unusually high
222233026024.0,222 – Salima,Rural,1,251.07114,26.137832109847928,4.20609933635291,4.179004117617754,6.214268855692772,1.8268480761586199,3.16539623293673,True,reported welfare unusually high
111120030083.0,311 – Machinga,Rural,2,958.2977,16.474049680818975,2.670949423444269,2.6801388118577165,6.167862834173474,1.81935239771503,3.1524084029040678,True,reported welfare unusually high
292916006009.0,229 – Nkhotakota,Rural,6,1379.725,15.234783633174686,2.475763656903017,2.5353518816136047,6.153569461566532,1.8170323137060629,3.1483883722962003,True,reported welfare unusually high
50512147047.0,305 – Blantyre City,Urban,1,196.68645,72.1590073853603,11.768569007392188,11.409981159511124,6.131502253165621,1.8134397856936788,3.1421635664212464,True,reported welfare unusually high
50503088039.0,305 – Blantyre City,Urban,1,196.68645,68.85420391686365,11.3259827473983,11.409981159511124,6.079313861985196,1.804891837962678,3.1273524598491305,True,reported welfare unusually high
232354013045.0,223 – Lilongwe Rural,Rural,6,1264.5563,13.617188108572655,2.246447470989974,2.257674963638951,6.061654360683438,1.8019827596368225,3.1223118734456112,True,reported welfare unusually high
60621022019.0,306 – Zomba Rural,Rural,1,169.41235,18.679517001095554,3.082828805035252,3.0428898848395485,6.059213203985213,1.8015799573261448,3.1216139342280718,True,reported welfare unusually high
70702005236.0,307 – Zomba City,Urban,3,178.51271,31.100314692973264,5.145404928521713,5.034175641236947,6.044289054993473,1.799113868381646,3.117340919543995,True,reported welfare unusually high
