hhid,subnatid,urban,hsize,weight,welfare_ppp_day,predicted_welfare_ppp_day,in_sample_predicted_welfare_ppp_day,actual_to_predicted_ratio,log_residual_crossfit,standardized_log_residual,inconsistency_flag,direction
232346023089.0,223 – Lilongwe Rural,Rural,1,210.75938,22.634608657370663,3.7687818544766096,3.7385593355017868,6.0058155476642865,1.7927282577449277,3.106276514069747,True,reported welfare unusually high
242410071026.0,224 – Lilongwe City,Urban,2,522.1232,77.3600367274693,12.931225566730326,13.04928905900278,5.982421103727593,1.7888253528701537,3.099513915389895,True,reported welfare unusually high
90961007098.0,309 – Mulanje,Rural,5,968.1002,10.543549412074716,1.7688565204355378,1.7818843350403397,5.960658363335554,1.7851809386235042,3.093199205766169,True,reported welfare unusually high
303034003197.0,130 – Mzimba,Rural,6,1390.7949,16.850224315587337,2.8507055628574687,2.837430299090513,5.910896072583917,1.7767974396514488,3.0786730410503953,True,reported welfare unusually high
303034019009.0,130 – Mzimba,Rural,9,2086.1924,14.34182584315614,2.445930342400952,2.4581581064417137,5.863546313865196,1.7687545935601159,3.0647371286711196,True,reported welfare unusually high
50505119123.0,305 – Blantyre City,Urban,8,1573.4916,36.92679998010901,6.322605493146195,6.228238049542765,5.840440309005243,1.764806189375657,3.0578956929246517,True,reported welfare unusually high
131329002008.0,313 – Chiradzulu,Rural,4,464.50525,10.75900190327495,1.8516719899227434,1.8706143686747203,5.810425367898903,1.7596537812473687,3.048968068623166,True,reported welfare unusually high
90961037072.0,309 – Mulanje,Rural,6,1161.7202,9.871700463837769,1.7086790036945103,1.6745750996101567,5.777387351569927,1.7539515651952549,3.0390877871447484,True,reported welfare unusually high
50513180004.0,305 – Blantyre City,Urban,5,983.43225,42.92589826186365,7.503432133460522,7.331906992542521,5.720835145618433,1.744114799212837,3.0220435334975053,True,reported welfare unusually high
121203801415.0,312 – Mangochi,Rural,6,1263.9568,9.666238684727029,1.7038376176428474,1.718885614181287,5.673215912499728,1.7357561372887367,3.0075604041600217,True,reported welfare unusually high
70703007371.0,307 – Zomba City,Urban,6,357.02542,22.354158370069502,3.948023112473108,4.018849468147249,5.662114362868175,1.7337973848022514,3.004166455958804,True,reported welfare unusually high
252560801310.0,225 – Mchinji,Rural,5,810.9153,14.255736152054705,2.5201932597977375,2.5573354680005167,5.656604348350183,1.732823773725976,3.0024794712152953,True,reported welfare unusually high
303034801136.0,130 – Mzimba,Rural,4,927.1966,18.157927093575076,3.210946935675761,3.249571141355361,5.655006905230479,1.7325413306514195,3.0019900795379644,True,reported welfare unusually high
70703007327.0,307 – Zomba City,Urban,5,297.52118,23.783235608849477,4.207879501378867,4.276383253186975,5.6520714533427165,1.7320221068766086,3.00109041579346,True,reported welfare unusually high
222233037081.0,222 – Salima,Rural,7,1757.4979,0.4203825828305797,2.4305355039639114,2.3913344827073972,0.17295883238281698,-1.7547016759071745,-3.0403875107795617,True,reported welfare unusually low
111120134016.0,311 – Machinga,Rural,1,479.14886,0.5414444207484358,3.222440706338441,3.1550702364510297,0.1680230825297829,-1.783653913006233,-3.0905533146274418,True,reported welfare unusually low
70713030005.0,307 – Zomba City,Urban,5,297.52118,0.6976270741705745,4.343490953183648,4.276383253186975,0.16061437256113884,-1.828748988565017,-3.16868996110651,True,reported welfare unusually low
121206019051.0,312 – Mangochi,Rural,4,842.6378,0.3064134366221642,1.9739954879706927,1.9685562281211884,0.1552249934153413,-1.8628796441512732,-3.227828457640699,True,reported welfare unusually low
10177006093.0,301 – Nsanje,Rural,1,187.22176,0.5242331695895442,3.460006169023337,3.5260405033698166,0.1515122066205797,-1.8870890855254414,-3.2697763763140637,True,reported welfare unusually low
10177002087.0,301 – Nsanje,Rural,6,1123.3306,0.3102390251271672,2.1668948910694175,2.1293371726482033,0.1431721614212937,-1.9437074468369842,-3.3678795245449007,True,reported welfare unusually low
232351033060.0,223 – Lilongwe Rural,Rural,7,1475.3157,0.20259981047437223,2.1510331868649546,2.1393005613331186,0.09418720813399137,-2.3624709013766925,-4.093474760837812,True,reported welfare unusually low
