welfare_dec,weight,x,code,year,survname,mod,survey_coverage,datatype,use_imputed,use_microdata,use_bin,use_groupdata,rep_year,comparability,ref_year
2.815854549407959,595.4979248046875,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.3361315727233887,455.21624755859375,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.4366424083709717,1263.956787109375,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.6357603073120117,648.7322387695312,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.6307270526885986,580.631591796875,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
0.8711601495742798,1893.5087890625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.478792428970337,1149.770751953125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.852419137954712,890.3999633789062,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.3585517406463623,1506.4267578125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
9.993271827697754,1804.0,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
11.576687812805176,983.4322509765625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.918534755706787,210.75938415527344,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
0.8677223920822144,1694.12353515625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.554072618484497,755.1063232421875,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.9698832035064697,169.412353515625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.1989104747772217,1475.315673828125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.8272109031677246,1506.4267578125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.6005494594573975,434.7526550292969,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.2817678451538086,652.1289672851562,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.1989734172821045,1376.80517578125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.2465245723724365,387.2400817871094,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
3.51928448677063,748.8870239257812,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
0.7536424398422241,1045.1368408203125,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.7786213159561157,632.2781372070312,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.5371873378753662,1896.83447265625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.0533097982406616,1474.6162109375,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
10.914552688598633,196.6864471435547,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.0154168605804443,1553.6929931640625,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.885455369949341,434.7526550292969,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
0.49568971991539,1053.796875,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
1.3445050716400146,748.8870239257812,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
2.5115976333618164,1185.886474609375,1,MWI,1997,IHS-I,GPWG,N,c,0,1,0,0,1997,0,1997.83
