Country,Year,Survey,Valid records,LIS ceiling (PPP/day),Welfare share above ceiling (%),mean_ppp_day original,mean_ppp_day LIS-capped,mean_ppp_day change (%),gini original,gini LIS-capped,gini change (%),mld original,mld LIS-capped,mld change (%),atkinson_2 original,atkinson_2 LIS-capped,atkinson_2 change (%)
IRL,2012,EU-SILC,4294,479.43322312573076,0.3779090600682884,42.86806859449385,42.82989399284828,-0.0890513682962557,0.3268559167607883,0.32625602152912636,-0.1835350687871995,0.18837846770956856,0.18754400569681362,-0.44297101622117196,0.40274333243333305,0.4022123414600468,-0.13184351683193096
IRL,2013,EU-SILC,4600,477.9574933374417,0.8946797779535633,43.110482405071615,42.97731394483212,-0.3089004177411647,0.33162449413909645,0.32955439193423897,-0.6242307915859779,0.19212841373568956,0.18923354428303307,-1.5067367685859034,0.34860642652601315,0.3465938922327193,-0.5773084315597532
IRL,2014,EU-SILC,5204,486.8596321355377,0.4987035674536865,43.156130002034864,43.101789345919855,-0.12591642511143863,0.3321331893273669,0.3312914002038133,-0.2534492639107766,0.1924402096704072,0.19126816403847657,-0.609044042270579,0.358173306762713,0.3573667177226576,-0.22519518479631184
IRL,2015,EU-SILC,5095,493.3271230041737,0.5804930373997627,45.20425475707702,45.16351304550113,-0.09012804612049674,0.31705502586334444,0.31643910831889477,-0.19426203472804326,0.17290392869433013,0.17206945356361558,-0.4826235800516665,0.3290601895878005,0.3284572563568018,-0.18322885905887043
IRL,2016,EU-SILC,5124,456.7289810327691,1.4893087919117782,46.561379639554254,46.34911810965489,-0.4558746573717243,0.31735987964956225,0.3142365927116382,-0.9841467489125844,0.1769317297865456,0.17272276344317739,-2.378864632390132,0.4138583094750661,0.4111840888729572,-0.6461681548694309
IRL,2017,EU-SILC,4937,532.0478015853572,0.6345059594308481,49.71434668623942,49.46589041208731,-0.4997677546085155,0.3276569628746362,0.32428046245395814,-1.030498601664065,0.1849686938992403,0.18014317148929448,-2.6088319640589996,0.3386095226778353,0.3352913205945921,-0.9799494287702659
IRL,2018,EU-SILC,3678,495.9289983804303,1.7495548342988991,52.877880460198526,52.30318468045254,-1.0868358843894366,0.3125595947419587,0.3050114889825477,-2.4149333075641266,0.167854266805187,0.15753819534570956,-6.145850001805641,0.3194556784375925,0.31199648032602556,-2.3349712072888162
IRL,2019,EU-SILC,3555,424.55929188880003,1.7205096114347769,54.052601863033985,53.748817866276624,-0.5620154928473786,0.3060292683810053,0.30211144043904303,-1.280213478497938,0.15623881495143754,0.1511287552223033,-3.270672355472337,0.25948014894100224,0.2553233867018585,-1.6019577050916722
IRL,2020,EU-SILC,3601,488.4305717788628,2.767909249930149,55.833710490081586,55.32198788701406,-0.9165119039660219,0.308315017112762,0.30192942107368026,-2.071127153934993,0.1622741335436899,0.15386310699529782,-5.183220741787265,0.27863960198044535,0.2720049640579374,-2.3810821847834673
IRL,2021,EU-SILC,4053,499.88775909816053,1.3955977889292828,58.03321134132881,57.78944816075994,-0.42004082651079244,0.29211600484701505,0.28913214999317294,-1.02146229728316,0.14657589400317983,0.14271999963698523,-2.630647005373854,0.39966788613131865,0.39714693800422896,-0.6307607427486372
IRL,2022,EU-SILC,4036,477.5837530063815,2.2925979567360364,59.15822832452118,58.56479301606626,-1.0031323203249842,0.30108989833976385,0.2940140884858281,-2.35006550965422,0.15543498988382565,0.14607299096159254,-6.02309616980733,0.293312505569154,0.28618259489124154,-2.430823965066653
IRN,2005,HEIS,26761,413.8356601893918,0.0,16.566086821688305,16.566086821688305,0.0,0.4355864114814365,0.4355864114814365,0.0,0.3238983911928104,0.3238983911928104,0.0,0.4582608075155189,0.4582608075155189,0.0
IRN,2006,HEIS,30724,519.1020547380682,0.0188623018664674,17.034642573507025,17.033706132702076,-0.005497272988896906,0.44752037213918294,0.447489999397259,-0.006786895930299686,0.3420655682118694,0.34201210498816614,-0.01562952505940185,0.47424639012683645,0.4742174980217564,-0.006092214022401787
IRN,2009,HEIS,36252,443.43795650027005,0.06678836672881902,16.420551855819326,16.41419737334649,-0.038698349048393865,0.4205002462399854,0.42027590661211833,-0.05335065315015264,0.3074970041793397,0.30711895490949015,-0.12294404976674889,0.46322607980523833,0.4630183410722696,-0.044846078842564197
IRN,2011,HEIS,38467,192.43780149017314,0.39132075651782794,13.670483066139855,13.64675205430145,-0.17359307438947758,0.3466199584882944,0.3454839292202402,-0.32774490915317145,0.2017328469625288,0.20007707134010566,-0.8207764116523353,0.32654011854424814,0.32537085370369,-0.35807693271222574
IRN,2012,HEIS,38156,180.11076769231482,0.5516836668276434,13.855308732863659,13.835229499638109,-0.14492086472186472,0.34425537464126,0.3433039390631274,-0.27637493797273427,0.1969760017572142,0.19561399967009363,-0.6914558499361401,0.3129069461381361,0.31191237123554416,-0.31785005570085234
IRN,2013,HEIS,38261,165.5711664513992,0.252665272632603,13.282306754804091,13.27521953926194,-0.05335831849831996,0.3396951965960303,0.33934274074147397,-0.10375650232566924,0.19077294376164788,0.19027583447986274,-0.26057640668701865,0.3054408782515764,0.3050713064042313,-0.120996197189005
IRN,2014,HEIS,38227,164.5829184509276,0.2788511634146005,12.871315805412369,12.861537762535447,-0.07596770232931593,0.3481405072689181,0.34764500372511287,-0.14232860970196937,0.20361899323307897,0.2029064505890803,-0.3499391842994859,0.3277215459319437,0.32721182330516274,-0.15553528082246082
IRN,2015,HEIS,38201,167.59799002876252,0.3367120419248886,13.135001865026442,13.122013195215173,-0.0988859380816165,0.352640503544981,0.35199986560254426,-0.1816688485856366,0.20755771501221032,0.2066312415731879,-0.4463690684626709,0.32782721715928465,0.32716371223071317,-0.20239470484511024
IRN,2016,HEIS,38102,179.64937596944094,0.2992254962019768,13.302301475114982,13.297958391824187,-0.03264911187677022,0.3591230661967659,0.3589137833397005,-0.0582760832607665,0.21476610609409752,0.21446020460000748,-0.14243471637745975,0.33584016302552555,0.33562384031146,-0.06441240145811378
IRN,2017,HEIS,37920,219.58111746799403,0.3388023222265424,14.154283729122618,14.139176871706116,-0.10672993212238469,0.36693677297463545,0.36626051190064757,-0.18429907379019506,0.22432825715027338,0.22331553161552709,-0.451448046541858,0.3479373009222333,0.34724185027361265,-0.19987815240771756
IRN,2018,HEIS,38915,209.01060368038864,0.2827536447570612,13.61424672768103,13.599418557939922,-0.10891656393268168,0.37419905482835814,0.3735167738176156,-0.18233103529763373,0.23385187485482328,0.2328098178497533,-0.44560558076214285,0.35808569928557854,0.3573867393058324,-0.19519349170900036
IRN,2019,HEIS,38290,183.34040857587178,0.279604830567986,12.238540639704702,12.224144221320108,-0.11763182235869918,0.3648225761985989,0.3640745882147547,-0.2050278772871339,0.2224770171675221,0.22134980027660411,-0.5066666684357846,0.34721583838043457,0.34644802366461236,-0.2211347038210132
IRN,2020,HEIS,37526,174.60520666248036,0.020911727468451526,11.959548828879267,11.959427968168416,-0.0010105791830472555,0.3584295704445354,0.3584230869395635,-0.0018088644203828608,0.21512748942772353,0.21511805877742418,-0.004383749526581937,0.341863713361503,0.341857081849817,-0.0019398115175150998
IRN,2021,HEIS,37938,189.08441668195252,0.0,12.89084504073457,12.89084504073457,0.0,0.35468728992153853,0.35468728992153853,0.0,0.2114132160339519,0.2114132160339519,0.0,0.34168284620619516,0.34168284620619516,0.0
IRN,2022,HEIS,37918,185.1174234179926,0.07745812428456438,13.475620001297125,13.474095764093018,-0.011311072915087816,0.34803439025529337,0.34796064076263056,-0.021190288870220897,0.20337053727279297,0.20326470482166537,-0.05203922482913681,0.3282501881670292,0.328174410541784,-0.023085325759719666
IRQ,2006,IHSES,17492,84.75536916367122,0.3263867644966372,10.675802580445868,10.670067871074188,-0.053716892275468275,0.28600612391801217,0.28562246305928407,-0.13414428106374165,0.13318233297559479,0.1327011284583901,-0.3613125753645252,0.22146134016972585,0.22104655345946878,-0.18729531300550883
IRQ,2012,IHSES,24923,106.68712289440572,0.14941137399883056,11.300911047430706,11.297687835388107,-0.028521700852879306,0.29541856965867797,0.2952175738504219,-0.06803763503705484,0.1424619951984285,0.14220219029994308,-0.18236786458279974,0.2389788418685913,0.23876306348144194,-0.09029183732843782
ISL,2004,EU-SILC,2847,294.8863062624372,2.0765127901830662,47.62756048281187,47.3239839311544,-0.6373968109641637,0.268360370352303,0.26367638211998146,-1.7454098107602123,0.12635463936956093,0.12076489200936491,-4.423856051574948,0.22912370823905814,0.22424129173273022,-2.1309084702984205
ISL,2005,EU-SILC,2901,302.2124627766634,2.510520700323645,48.70926913116726,48.11178968073212,-1.2266237229431765,0.2798214015826558,0.27089292632693285,-3.190776404243534,0.14113775950031204,0.13003219453356918,-7.8685994492624145,0.4972328324499681,0.4910237539594452,-1.2487265693879257
ISL,2006,EU-SILC,2818,346.44559074068724,2.642349807645149,50.81251715440111,50.297102904660925,-1.0143450444976443,0.29002446936692905,0.28276253022836983,-2.503905671963025,0.14564087275879833,0.13648971451801017,-6.283372289277445,0.24995999964603155,0.2423392108570347,-3.048803328448013
ISL,2007,EU-SILC,2863,407.5745611248637,2.9211712642683443,58.237170621920455,57.62512797490129,-1.050948458661538,0.30245150569239376,0.29505818811059614,-2.444463804163355,0.16192587985240925,0.15242969792754923,-5.864523900389185,0.3933712544779431,0.3869706267214703,-1.6271213729043943
ISL,2008,EU-SILC,2876,428.3825062449785,1.8127080374479643,61.51092104801508,61.09509968984026,-0.6760122448015826,0.2947095978038604,0.2899169137714315,-1.6262395484040626,0.14963880139451513,0.14357975077999896,-4.0491173131905756,0.3279335973503834,0.3233959671608968,-1.3837039651165561
ISL,2009,EU-SILC,2886,480.64154733730953,3.086687110980949,64.09673463644532,63.59016477712693,-0.7903208520553151,0.3178927853974505,0.31246984039888825,-1.7059037661965482,0.1730573602570611,0.16591935122683354,-4.124649202798814,0.3123266535430208,0.30688884100938296,-1.741065795042307
ISL,2010,EU-SILC,3008,368.5435526428916,1.4414818210205327,53.80396532298896,53.6383670551447,-0.30778078688097343,0.28656409981577324,0.28436468962477734,-0.7675107218279797,0.1432600139775566,0.14055711492330092,-1.8867086350271678,0.47633880516244775,0.4747351439514166,-0.3366639865681864
ISL,2011,EU-SILC,3001,297.93830264812146,1.2935875586267949,47.76363702036383,47.50193708135936,-0.5479062218249786,0.26171619598117524,0.25765261909388615,-1.552665425253763,0.12483207864265289,0.11992962471581148,-3.927238879739625,0.8816736686718135,0.8810227395111426,-0.07382880807266234
ISL,2012,EU-SILC,3070,342.55447237856026,1.015433119884098,47.735562705145995,47.61019218926776,-0.26263546248030956,0.26830799425572427,0.2663827355135291,-0.7175554897407288,0.13185450053591685,0.1295113638278531,-1.7770623668817986,0.7928559460185267,0.7923118592159939,-0.06862366426902966
ISL,2013,EU-SILC,3009,341.76463478846904,1.0835707429862091,48.72995184191822,48.558490043433316,-0.3518612106187424,0.26769424720934065,0.2651105803291216,-0.9651559221586781,0.12442598139866723,0.12127488809718345,-2.5325042776938256,0.2379202104604543,0.2352532837942315,-1.120933215829556
ISL,2014,EU-SILC,2987,339.58100590529693,0.8778375981543636,49.791971160129144,49.70777613420001,-0.1690935786783032,0.2540291492087783,0.2527668954370954,-0.49689328000916966,0.1101928074669738,0.10871721838784065,-1.3390974538654898,0.2393644819911046,0.23809235359760217,-0.5314608010848154
ISL,2015,EU-SILC,2928,352.22067960734535,2.919345924317619,52.534687513934344,51.681202511215226,-1.6246123144688762,0.27800415764749054,0.26609542283395515,-4.283653494360928,0.1360503496530061,0.12094761631833606,-11.100841249720627,0.22901306259647214,0.2163524753411611,-5.52832537662683
ISL,2016,EU-SILC,2832,375.3961996054503,1.3020725537133149,56.094243163757355,55.65172386039397,-0.7888854156950176,0.2678797139147049,0.2620615252727059,-2.1719407404815927,0.12421627317759265,0.11690241222471487,-5.8880054648082325,0.22162695011840394,0.21547118646122376,-2.7775338937306437
ISL,2017,EU-SILC,2883,399.0863996130252,2.099991090109265,60.771545157337805,60.301458471208335,-0.7735309097578691,0.2724110521373754,0.2667478687936041,-2.078911005752926,0.12820184517079092,0.1212787139393594,-5.400180646548803,0.22681092983170603,0.22084165150868862,-2.6318301007127953
ISL,2018,EU-SILC,2956,422.19696067175613,1.3638954509941634,62.975197346403235,62.6423605549014,-0.5285204422163514,0.2613158023547546,0.25739389062217877,-1.5008322103887028,0.11703896132711034,0.11224892373599271,-4.092686347181451,0.20571810338239127,0.2015324320587205,-2.0346635783873523
ITA,2004,EU-SILC,20050,616.3134518133865,0.6729294456549539,47.7853650295082,47.69553494704774,-0.1879865988362539,0.34702577969551707,0.34579629929209377,-0.35429079779089045,0.22238766111338082,0.22061630393491516,-0.7965177427548764,0.5438936840573038,0.5430360521429024,-0.15768374216145187
ITA,2005,EU-SILC,18571,596.8861188447595,0.8313547080363194,49.13145548780817,49.020058676724254,-0.22673216166282373,0.34103074115602405,0.33953393893699335,-0.4389053649406671,0.2142525510700959,0.21212957263532228,-0.9908766192842422,0.4651252082169214,0.4639125476731041,-0.2607170117625124
ITA,2006,EU-SILC,18205,636.1764646972773,0.2672834486458611,48.40761137171399,48.36310322362198,-0.09194452448860746,0.3358935244258321,0.33528243286543247,-0.18193014034557642,0.20724348520113223,0.20637614138155325,-0.41851439563334036,0.4623567846768921,0.4618629019156705,-0.10681853875396108
ITA,2007,EU-SILC,18024,619.2175223525217,0.40036416914887535,49.34927151435388,49.29192556558274,-0.11620424580018884,0.33442547229532305,0.3336513067105342,-0.23149121371507375,0.20228084419466885,0.20119068646692462,-0.538932755637056,0.4170569865007314,0.4163803836873411,-0.16223270087555308
ITA,2008,EU-SILC,18079,599.5170800955349,0.4668551185255915,49.64421307449207,49.58557562481498,-0.11811537749446543,0.32646775889345425,0.32567151505140557,-0.24389662389557865,0.19607989582786356,0.19497972739975422,-0.561081707772404,0.4222801417915558,0.4215988738814723,-0.16133079504832004
ITA,2009,EU-SILC,17677,607.8205492828899,0.4440530044426463,48.909701492938424,48.84245752340734,-0.137485953662575,0.33550159043069816,0.334586950296791,-0.27261871776316227,0.20804522445980878,0.20675482298344194,-0.6202504670402176,0.5567716599230922,0.5561625283201399,-0.1094042040567289
ITA,2010,EU-SILC,16726,632.6560800628681,0.46565432534258044,49.481361879215065,49.42034941364881,-0.1233039335400421,0.33571136263163814,0.33489140359962766,-0.24424524257470326,0.21182038534489767,0.21065923000029985,-0.5481792239718342,0.5844495897410229,0.5839373358503384,-0.08764723248613215
ITA,2011,EU-SILC,17037,598.9660906556066,0.8969839420932865,48.68564054543712,48.48721761813087,-0.4075594468579746,0.3432125339005284,0.34052569410661004,-0.78285013760514,0.22730405519305608,0.22343442188565898,-1.702403991037682,0.6387682241876991,0.6372915678145643,-0.23117248435652327
ITA,2012,EU-SILC,17026,634.0605732126851,0.3907354243555317,47.934347777483985,47.868850544148735,-0.13663945870150407,0.3469359651935501,0.34604249107026774,-0.2575328628105389,0.22869846087735413,0.227393728967467,-0.5705031441321395,0.5958043153144561,0.5952518149060921,-0.09273185745094503
ITA,2013,EU-SILC,16218,597.9315257344311,0.6978958716892169,45.76038286983014,45.59520201830728,-0.3609691203693144,0.3480794063410704,0.34571803159440995,-0.6784011646890131,0.2329060443399249,0.22943606610443457,-1.4898618218881055,0.5625349976926488,0.5609515106245135,-0.28149129825348895
