Country,Year,Survey,Valid records,LIS ceiling (PPP/day),Welfare share above ceiling (%),mean_ppp_day original,mean_ppp_day LIS-capped,mean_ppp_day change (%),gini original,gini LIS-capped,gini change (%),mld original,mld LIS-capped,mld change (%),atkinson_2 original,atkinson_2 LIS-capped,atkinson_2 change (%)
MOZ,2002,IAF,8697,26.419828252900725,6.765720640630797,1.7691997865673943,1.7165417703162416,-2.9763747797709073,0.4703906960369141,0.454174429033249,-3.447403858173359,0.380030994576405,0.35097206943489856,-7.646461882377897,0.4788475555343459,0.46287538598035616,-3.3355437172831293
MOZ,2014,IOF,32454,63.790929504179296,8.03678531002836,2.8698507967735174,2.759777995823066,-3.8354886279873046,0.5398899144268315,0.5215684685357171,-3.39355216712377,0.5110325124700428,0.472890856818432,-7.463645603927526,0.6252468235766132,0.6103042235658309,-2.389872198839138
MWI,1997,IHS-I,10693,38.78152104616517,41.59642829089263,4.615166308607595,2.8640089761674603,-37.94353692464145,0.6575557052764734,0.4483008375177918,-31.823139253380685,0.8110758736156535,0.33659107432337243,-58.5006674131607,0.6467177217598545,0.43074682425119526,-33.394924901850096
MWI,2016,IHS-IV,12445,30.01232326683246,10.966538935266748,2.5000184059761996,2.258663906071655,-9.654108918862192,0.44694307712483217,0.3878638514894578,-13.218512302602115,0.3484811252481691,0.2478717170724628,-28.870834282361145,0.4168111206485602,0.3545057232152272,-14.948113029322595
NOR,2005,EU-SILC,5960,358.44254799009195,7.750450730627218,56.011343907337306,52.36525850239939,-6.5095481568338,0.315251929022241,0.2676085702068196,-15.112788988536252,0.2005364376905998,0.13539925189360114,-32.48147147078399,0.9799412930176358,0.9785447159716838,-0.14251639928871684
NOR,2006,EU-SILC,5731,363.536575920944,7.041738395782076,57.37065207343314,54.923526701359016,-4.265465501319143,0.30564799150291433,0.27477458411459854,-10.100968514959607,0.18047532519145282,0.13974741971782123,-22.567021519660035,0.9720430519510792,0.9707976515402309,-0.1281219394911104
PRY,2002,EPH,3730,583.3859013162468,8.422932540958925,12.042783464584591,11.35386242366403,-5.7206130372313035,0.5725296559177994,0.5466158475369433,-4.526194951301643,0.6134965031430089,0.5551531937950909,-9.509966079516163,0.6733818831284393,0.6535643456628306,-2.9429864334245437
PRY,2007,EPH,4308,459.05567946661716,7.168215680420118,14.013723750371584,13.421855652070425,-4.2234891228355,0.5303030299273098,0.5096150448981507,-3.9011628939768506,0.5136277770097624,0.47116786990357973,-8.266668783642439,0.6154254523937741,0.5984689104022294,-2.75525523450324
PRY,2010,EPH,4344,486.0243120887834,5.091753465246421,15.42018291846098,14.971711754258274,-2.908338808781563,0.5098243771773856,0.49515197295678937,-2.877933044674952,0.47392280265762876,0.44489657154897033,-6.124674935640851,0.595558240321782,0.5834450675481567,-2.0339190953147512
PRY,2014,EPH,4522,558.4511872399801,6.502568845166093,20.109122324188277,19.650917695756746,-2.278590885492693,0.5070264508589479,0.49554502921224663,-2.2644620664761694,0.45992999235542165,0.43738733534776797,-4.901323545395863,0.5723825987947915,0.5624142322338409,-1.741556536124611
RWA,2000,EICV-I,6419,34.70038058479139,5.361251299413783,2.1125210833115076,2.0716218806658064,-1.9360376078040864,0.4854727268629061,0.4753306486742438,-2.089113894038863,0.4020552875450354,0.38326419119143335,-4.673759290256118,0.492733087952667,0.48272714042407794,-2.030703391599764
RWA,2005,EICV-II,6900,52.38698482178134,6.136862254139729,2.737332963386077,2.6694087174997287,-2.481402401347843,0.5203941409755328,0.5082099881325531,-2.341331672208924,0.46769560254062825,0.4433728924059793,-5.200542832244404,0.5428937059232259,0.5312687535965325,-2.141294363861612
