countrycode,hhid,welfare,urban,hsize,wta_hh,weight,fdpindex,nfdpindex,pc_hhdr,subnatid,code,year,survname,cpi_domain,cpi_domain_value,cpi2021_unadj,cpi2017_unadj,cpi2011_unadj,cpi2011,cpi2017,cpi2021,icp2011,icp2017,icp2021,comparability,cpi_replication,cpi_domain_var,icpreplication,icpdomain_var,icpdomain_value,comparable,cpi2005,icp2005,cpi_data_level,cpi2011_SM26,cpi2017_SM26,cpi2021_SM26,icp2011_SM26,icp2017_SM26,icp2021_SM26
MWI,10177005076.0,2597.999,Rural,2,187.22176,374.4435,0.741,0.741,3506.0715,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177005081.0,4549.7017,Rural,3,187.22176,561.6653,0.741,0.741,6139.9487,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177005094.0,4475.5503,Rural,5,187.22176,936.10876,0.741,0.741,6039.8794,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177005103.0,3125.8147,Rural,6,187.22176,1123.3306,0.741,0.741,4218.3735,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177005104.0,6829.1133,Rural,1,187.22176,187.22176,0.741,0.741,9216.077,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177005114.0,3731.3835,Rural,4,187.22176,748.887,0.741,0.741,5035.6055,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177005116.0,9078.876,Rural,6,187.22176,1123.3306,0.741,0.741,12252.194,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006005.0,5167.875,Rural,3,187.22176,561.6653,0.741,0.741,6974.19,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006017.0,4596.877,Rural,4,187.22176,748.887,0.741,0.741,6203.613,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006029.0,9631.771,Rural,1,187.22176,187.22176,0.741,0.741,12998.343,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006031.0,9341.421,Rural,3,187.22176,561.6653,0.741,0.741,12606.505,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006035.0,6829.509,Rural,2,187.22176,374.4435,0.741,0.741,9216.611,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006050.0,4322.31,Rural,4,187.22176,748.887,0.741,0.741,5833.077,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006054.0,3766.528,Rural,5,187.22176,936.10876,0.741,0.741,5083.034,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006055.0,4281.944,Rural,4,187.22176,748.887,0.741,0.741,5778.6016,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006060.0,10403.464,Rural,3,187.22176,561.6653,0.741,0.741,14039.763,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006076.0,5015.9956,Rural,3,187.22176,561.6653,0.741,0.741,6769.2246,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006077.0,7130.8877,Rural,1,187.22176,187.22176,0.741,0.741,9623.33,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
MWI,10177006078.0,8186.4688,Rural,1,187.22176,187.22176,0.741,0.741,11047.866,301 – Nsanje,MWI,1997.0,IHS-I,National,1,,,,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125,0,-9,,1,,1,0,,,2,0.11699990183115005,0.031428515911102295,0.02152317576110363,78.7030181884766,241.930526733398,282.09423828125
