reporting_level,welfare,weight,quantile_point
national,4.868600706061659,366.1322509765625,127
national,4.9936279964876915,366.1322509765625,128
national,5.118655286913722,366.1322509765625,129
national,5.243682577339753,366.1322509765625,130
national,5.368709867765785,366.1322509765625,131
national,5.4937371581918155,366.1322509765625,132
national,5.618764448617846,366.1322509765625,133
national,5.743791739043878,366.1322509765625,134
national,5.868819029469909,366.1322509765625,135
national,5.9938463198959395,366.1322509765625,136
national,6.118873610321972,366.1322509765625,137
national,6.243900900748002,366.1322509765625,138
national,6.368928191174033,366.1322509765625,139
national,6.493955481600066,366.1322509765625,140
national,6.575050371129277,366.1322509765625,141
national,6.612212859761669,366.1322509765625,142
national,6.649375348394062,366.1322509765625,143
national,6.686537837026454,366.1322509765625,144
national,6.7237003256588475,366.1322509765625,145
national,6.760862814291239,366.1322509765625,146
national,6.798025302923632,366.1322509765625,147
national,6.835187791556025,366.1322509765625,148
national,6.872350280188416,366.1322509765625,149
national,6.909512768820809,366.1322509765625,150
national,6.946675257453202,366.1322509765625,151
national,6.9838377460855945,366.1322509765625,152
national,7.021000234717986,366.1322509765625,153
national,7.058162723350379,366.1322509765625,154
national,7.095325211982772,366.1322509765625,155
national,7.1324877006151635,366.1322509765625,156
national,7.169650189247555,366.1322509765625,157
national,7.206812677879949,366.1322509765625,158
national,7.2439751665123415,366.1322509765625,159
national,7.281137655144733,366.1322509765625,160
national,7.312807622321989,366.1322509765625,161
national,7.338985068044106,366.1322509765625,162
national,7.365162513766225,366.1322509765625,163
national,7.391339959488344,366.1322509765625,164
national,7.417517405210462,366.1322509765625,165
national,7.44369485093258,366.1322509765625,166
national,7.469872296654699,366.1322509765625,167
national,7.496049742376816,366.1322509765625,168
national,7.522227188098935,366.1322509765625,169
national,7.548404633821054,366.1322509765625,170
national,7.5745820795431715,366.1322509765625,171
national,7.60075952526529,366.1322509765625,172
national,7.626936970987408,366.1322509765625,173
national,7.653114416709526,366.1322509765625,174
national,7.679291862431645,366.1322509765625,175
national,7.705469308153764,366.1322509765625,176
national,7.731646753875881,366.1322509765625,177
national,7.757824199598,366.1322509765625,178
national,7.784001645320117,366.1322509765625,179
national,7.810179091042236,366.1322509765625,180
national,7.855565800678058,366.1322509765625,181
national,7.920161774227583,366.1322509765625,182
national,7.984757747777107,366.1322509765625,183
national,8.04935372132663,366.1322509765625,184
national,8.113949694876155,366.1322509765625,185
national,8.178545668425679,366.1322509765625,186
national,8.243141641975205,366.1322509765625,187
national,8.30773761552473,366.1322509765625,188
national,8.372333589074254,366.1322509765625,189
national,8.436929562623778,366.1322509765625,190
national,8.501525536173302,366.1322509765625,191
national,8.566121509722825,366.1322509765625,192
national,8.630717483272353,366.1322509765625,193
national,8.695313456821875,366.1322509765625,194
national,8.7599094303714,366.1322509765625,195
national,8.824505403920924,366.1322509765625,196
national,8.889101377470448,366.1322509765625,197
national,8.953697351019974,366.1322509765625,198
national,9.018293324569498,366.1322509765625,199
national,9.082889298119023,366.1322509765625,200
national,9.152793160239654,366.1322509765625,201
national,9.22800491093139,366.1322509765625,202
national,9.303216661623127,366.1322509765625,203
national,9.378428412314866,366.1322509765625,204
national,9.453640163006604,366.1322509765625,205
national,9.528851913698341,366.1322509765625,206
national,9.604063664390077,366.1322509765625,207
national,9.679275415081815,366.1322509765625,208
national,9.754487165773552,366.1322509765625,209
national,9.829698916465292,366.1322509765625,210
national,9.90491066715703,366.1322509765625,211
national,9.980122417848767,366.1322509765625,212
national,10.055334168540503,366.1322509765625,213
national,10.13054591923224,366.1322509765625,214
national,10.205757669923978,366.1322509765625,215
national,10.280969420615717,366.1322509765625,216
national,10.356181171307455,366.1322509765625,217
national,10.43139292199919,366.1322509765625,218
national,10.506604672690928,366.1322509765625,219
national,10.581816423382666,366.1322509765625,220
national,10.662657364988895,366.1322509765625,221
national,10.74912749750961,366.1322509765625,222
national,10.835597630030326,366.1322509765625,223
national,10.922067762551043,366.1322509765625,224
national,11.008537895071758,366.1322509765625,225
national,11.095008027592474,366.1322509765625,226
national,11.181478160113192,366.1322509765625,227
national,11.267948292633909,366.1322509765625,228
national,11.354418425154625,366.1322509765625,229
national,11.44088855767534,366.1322509765625,230
national,11.527358690196056,366.1322509765625,231
national,11.613828822716773,366.1322509765625,232
national,11.700298955237491,366.1322509765625,233
national,11.786769087758207,366.1322509765625,234
national,11.873239220278922,366.1322509765625,235
national,11.959709352799639,366.1322509765625,236
national,12.046179485320355,366.1322509765625,237
national,12.132649617841073,366.1322509765625,238
national,12.21911975036179,366.1322509765625,239
national,12.305589882882504,366.1322509765625,240
national,12.366846636111136,366.1322509765625,241
national,12.402890010047678,366.1322509765625,242
national,12.43893338398422,366.1322509765625,243
national,12.474976757920766,366.1322509765625,244
national,12.511020131857308,366.1322509765625,245
national,12.54706350579385,366.1322509765625,246
national,12.583106879730394,366.1322509765625,247
national,12.619150253666938,366.1322509765625,248
national,12.65519362760348,366.1322509765625,249
national,12.691237001540024,366.1322509765625,250
national,12.727280375476568,366.1322509765625,251
national,12.76332374941311,366.1322509765625,252
national,12.799367123349652,366.1322509765625,253
national,12.835410497286196,366.1322509765625,254
national,12.871453871222739,366.1322509765625,255
national,12.907497245159284,366.1322509765625,256
national,12.943540619095826,366.1322509765625,257
national,12.979583993032369,366.1322509765625,258
national,13.015627366968912,366.1322509765625,259
national,13.051670740905456,366.1322509765625,260
national,13.078995546982622,366.1322509765625,261
national,13.097601785200412,366.1322509765625,262
national,13.116208023418203,366.1322509765625,263
national,13.134814261635992,366.1322509765625,264
national,13.153420499853782,366.1322509765625,265
national,13.17202673807157,366.1322509765625,266
national,13.190632976289361,366.1322509765625,267
national,13.209239214507152,366.1322509765625,268
national,13.22784545272494,366.1322509765625,269
national,13.246451690942731,366.1322509765625,270
national,13.265057929160522,366.1322509765625,271
national,13.28366416737831,366.1322509765625,272
national,13.3022704055961,366.1322509765625,273
national,13.320876643813891,366.1322509765625,274
national,13.33948288203168,366.1322509765625,275
national,13.35808912024947,366.1322509765625,276
national,13.37669535846726,366.1322509765625,277
national,13.39530159668505,366.1322509765625,278
national,13.41390783490284,366.1322509765625,279
national,13.43251407312063,366.1322509765625,280
national,13.448916257281553,366.1322509765625,281
national,13.46311438738561,366.1322509765625,282
national,13.477312517489668,366.1322509765625,283
national,13.491510647593726,366.1322509765625,284
national,13.505708777697784,366.1322509765625,285
national,13.51990690780184,366.1322509765625,286
national,13.534105037905897,366.1322509765625,287
national,13.548303168009955,366.1322509765625,288
national,13.562501298114013,366.1322509765625,289
national,13.57669942821807,366.1322509765625,290
national,13.590897558322126,366.1322509765625,291
national,13.605095688426184,366.1322509765625,292
national,13.619293818530242,366.1322509765625,293
national,13.6334919486343,366.1322509765625,294
national,13.647690078738355,366.1322509765625,295
national,13.661888208842413,366.1322509765625,296
national,13.67608633894647,366.1322509765625,297
national,13.690284469050528,366.1322509765625,298
national,13.704482599154586,366.1322509765625,299
national,13.718680729258642,366.1322509765625,300
national,13.754994094716356,366.1322509765625,301
national,13.813422695527725,366.1322509765625,302
national,13.871851296339093,366.1322509765625,303
national,13.930279897150463,366.1322509765625,304
national,13.98870849796183,366.1322509765625,305
national,14.047137098773199,366.1322509765625,306
national,14.10556569958457,366.1322509765625,307
national,14.163994300395938,366.1322509765625,308
national,14.222422901207306,366.1322509765625,309
national,14.280851502018674,366.1322509765625,310
national,14.339280102830044,366.1322509765625,311
national,14.397708703641412,366.1322509765625,312
national,14.456137304452781,366.1322509765625,313
national,14.514565905264147,366.1322509765625,314
national,14.572994506075519,366.1322509765625,315
national,14.631423106886889,366.1322509765625,316
national,14.689851707698255,366.1322509765625,317
national,14.748280308509626,366.1322509765625,318
national,14.806708909320992,366.1322509765625,319
national,14.865137510132362,366.1322509765625,320
national,14.914317793514478,366.1322509765625,321
national,14.954249759467341,366.1322509765625,322
national,14.994181725420207,366.1322509765625,323
national,15.034113691373069,366.1322509765625,324
national,15.074045657325934,366.1322509765625,325
national,15.113977623278796,366.1322509765625,326
national,15.15390958923166,366.1322509765625,327
national,15.193841555184525,366.1322509765625,328
national,15.233773521137387,366.1322509765625,329
national,15.273705487090252,366.1322509765625,330
national,15.313637453043114,366.1322509765625,331
national,15.353569418995978,366.1322509765625,332
national,15.393501384948843,366.1322509765625,333
national,15.433433350901705,366.1322509765625,334
national,15.47336531685457,366.1322509765625,335
national,15.513297282807432,366.1322509765625,336
national,15.553229248760296,366.1322509765625,337
national,15.593161214713158,366.1322509765625,338
national,15.633093180666023,366.1322509765625,339
