reporting_level,bin,avg_welfare,pop_share,welfare_share,quantile,pop,cum_pop_share,cum_welfare_share
national,12284,2.828763383997384,5e-05,2.4471762616506982e-05,2.829085350036621,483.3324045991898,0.6141999999999406,0.18669066609747892
national,12285,2.8290865328745007,5e-05,2.4474558192360135e-05,2.8293888568878174,483.3324045991898,0.6142499999999406,0.18671514065567127
national,12286,2.8293888568878174,5e-05,2.4477173611355238e-05,2.8293888568878174,483.3324045991898,0.6142999999999406,0.1867396178292826
national,12287,2.82941206380667,5e-05,2.4477374375481512e-05,2.8294403553009033,483.3324045991898,0.6143499999999406,0.18676409520365808
national,12288,2.8294403553009033,5e-05,2.447761912650412e-05,2.8294403553009033,483.3324045991898,0.6143999999999405,0.18678857282278458
national,12289,2.8304574224156838,5e-05,2.4486417821063998e-05,2.830639362335205,483.3324045991898,0.6144499999999405,0.18681305924060565
national,12290,2.831657267223952,5e-05,2.4496797733887632e-05,2.832035779953003,483.3324045991898,0.6144999999999405,0.18683755603833954
national,12291,2.832035779953003,5e-05,2.450007226497958e-05,2.832035779953003,483.3324045991898,0.6145499999999405,0.18686205611060452
national,12292,2.832035779953003,5e-05,2.450007226497958e-05,2.832035779953003,483.3324045991898,0.6145999999999405,0.1868865561828695
national,12293,2.832174231124775,5e-05,2.4501270012457774e-05,2.832383155822754,483.3324045991898,0.6146499999999405,0.18691105745288197
national,12294,2.8324920745816478,5e-05,2.4504019690875484e-05,2.832500696182251,483.3324045991898,0.6146999999999405,0.18693556147257284
national,12295,2.8339479165103607,5e-05,2.4516614246605447e-05,2.833984851837158,483.3324045991898,0.6147499999999405,0.18696007808681944
national,12296,2.833984851837158,5e-05,2.451693377582258e-05,2.833984851837158,483.3324045991898,0.6147999999999405,0.18698459502059525
national,12297,2.833985016716208,5e-05,2.4516935202198855e-05,2.834137439727783,483.3324045991898,0.6148499999999405,0.18700911195579745
national,12298,2.8345617500871403,5e-05,2.452192454921399e-05,2.8347549438476562,483.3324045991898,0.6148999999999405,0.18703363388034666
national,12299,2.8347549438476562,5e-05,2.4523595877354433e-05,2.8347549438476562,483.3324045991898,0.6149499999999405,0.187058157476224
national,12300,2.8348495036837753,5e-05,2.4524413918861776e-05,2.8351645469665527,483.3324045991898,0.6149999999999405,0.18708268189014288
national,12301,2.8351645469665527,5e-05,2.452713937284413e-05,2.8351645469665527,483.3324045991898,0.6150499999999405,0.18710720902951572
national,12302,2.8351645469665527,5e-05,2.452713937284413e-05,2.8351645469665527,483.3324045991898,0.6150999999999405,0.18713173616888856
national,12303,2.8351645469665527,5e-05,2.452713937284413e-05,2.8351645469665527,483.3324045991898,0.6151499999999405,0.1871562633082614
national,12304,2.835180878389057,5e-05,2.4527280656734107e-05,2.8352537155151367,483.3324045991898,0.6151999999999405,0.18718079058891815
national,12305,2.835578103774372,5e-05,2.453071707187921e-05,2.8359265327453613,483.3324045991898,0.6152499999999405,0.18720532130599002
national,12306,2.8361972477172626,5e-05,2.4536073314710118e-05,2.8366501331329346,483.3324045991898,0.6152999999999405,0.18722985737930473
national,12307,2.8367486077888158,5e-05,2.454084315614104e-05,2.8369181156158447,483.3324045991898,0.6153499999999404,0.18725439822246087
national,12308,2.8369181156158447,5e-05,2.4542309576177495e-05,2.8369181156158447,483.3324045991898,0.6153999999999404,0.18727894053203706
