reporting_level,bin,avg_welfare,pop_share,welfare_share,quantile,pop,cum_pop_share,cum_welfare_share
national,16488,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8243999999999174,0.6134064912667953
national,16489,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8244499999999174,0.6134695634646675
national,16490,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8244999999999174,0.6135326356625398
national,16491,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8245499999999174,0.6135957078604121
national,16492,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8245999999999174,0.6136587800582843
national,16493,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8246499999999174,0.6137218522561566
national,16494,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8246999999999174,0.6137849244540289
national,16495,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8247499999999174,0.6138479966519012
national,16496,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8247999999999174,0.6139110688497734
national,16497,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8248499999999174,0.6139741410476457
national,16498,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8248999999999174,0.614037213245518
national,16499,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8249499999999174,0.6141002854433902
national,16500,80.0120284238643,5.000000000000001e-05,6.30721978722875e-05,80.0120284238643,366.1322509765625,0.8249999999999174,0.6141633576412625
national,16501,80.07793071133153,5.000000000000001e-05,6.312414758781466e-05,80.07793071133182,366.1322509765625,0.8250499999999173,0.6142264817888503
national,16502,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8250999999999173,0.6142896059364381
national,16503,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8251499999999173,0.6143527300840259
national,16504,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8251999999999173,0.6144158542316137
national,16505,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8252499999999173,0.6144789783792015
national,16506,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8252999999999173,0.6145421025267893
national,16507,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8253499999999173,0.6146052266743771
national,16508,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8253999999999173,0.6146683508219649
national,16509,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8254499999999173,0.6147314749695527
national,16510,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8254999999999173,0.6147945991171405
national,16511,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8255499999999173,0.6148577232647283
national,16512,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8255999999999173,0.6149208474123161
national,16513,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8256499999999173,0.6149839715599039
national,16514,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8256999999999173,0.6150470957074917
national,16515,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8257499999999173,0.6151102198550795
national,16516,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8257999999999173,0.6151733440026673
national,16517,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8258499999999173,0.6152364681502551
national,16518,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8258999999999173,0.6152995922978429
national,16519,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8259499999999173,0.6153627164454307
national,16520,80.07793071133182,5.000000000000001e-05,6.312414758781488e-05,80.07793071133182,366.1322509765625,0.8259999999999172,0.6154258405930185
national,16521,80.23142387189407,5.000000000000001e-05,6.32451437828337e-05,80.23142387189469,366.1322509765625,0.8260499999999172,0.6154890857368014
national,16522,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8260999999999172,0.6155523308805843
national,16523,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8261499999999172,0.6156155760243671
national,16524,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8261999999999172,0.61567882116815
national,16525,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8262499999999172,0.6157420663119328
national,16526,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8262999999999172,0.6158053114557157
national,16527,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8263499999999172,0.6158685565994986
national,16528,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8263999999999172,0.6159318017432814
national,16529,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8264499999999172,0.6159950468870643
national,16530,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8264999999999172,0.6160582920308472
national,16531,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8265499999999172,0.61612153717463
national,16532,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8265999999999172,0.6161847823184129
national,16533,80.23142387189469,5.000000000000001e-05,6.324514378283419e-05,80.23142387189469,366.1322509765625,0.8266499999999172,0.6162480274621958
