reporting_level,welfare,weight,quantile_point
national,0.7015531438909098,483.3324045991898,446
national,0.7016381306692461,483.3324045991898,447
national,0.7017231174475824,483.3324045991898,448
national,0.7050247193115818,483.3324045991898,449
national,0.7063994643419876,483.3324045991898,450
national,0.7068112695883098,483.3324045991898,451
national,0.7073476176835183,483.3324045991898,452
national,0.7074641028675568,483.3324045991898,453
national,0.7074774475711794,483.3324045991898,454
national,0.7074907922748019,483.3324045991898,455
national,0.7075041369784246,483.3324045991898,456
national,0.7075174816820472,483.3324045991898,457
national,0.7079689099741427,483.3324045991898,458
national,0.7086181163537317,483.3324045991898,459
national,0.7088582139014521,483.3324045991898,460
national,0.7090983114491723,483.3324045991898,461
national,0.7095025018271188,483.3324045991898,462
national,0.7101863071080883,483.3324045991898,463
national,0.7107954133113817,483.3324045991898,464
national,0.7110872662174208,483.3324045991898,465
national,0.711873040109871,483.3324045991898,466
national,0.7130046002322996,483.3324045991898,467
national,0.7141707636598313,483.3324045991898,468
national,0.7144277174931769,483.3324045991898,469
national,0.7145691920489964,483.3324045991898,470
national,0.7147473694678959,483.3324045991898,471
national,0.7149255468867952,483.3324045991898,472
national,0.7151037243056947,483.3324045991898,473
national,0.7151577559644673,483.3324045991898,474
national,0.7151769287048887,483.3324045991898,475
national,0.7151961014453101,483.3324045991898,476
national,0.7161790088774005,483.3324045991898,477
national,0.7171849977703242,483.3324045991898,478
national,0.7174810662126946,483.3324045991898,479
national,0.7175250704600177,483.3324045991898,480
national,0.7179218882730157,483.3324045991898,481
national,0.7185003445631073,483.3324045991898,482
national,0.7190788008531989,483.3324045991898,483
national,0.7196507698255911,483.3324045991898,484
national,0.7199581435141479,483.3324045991898,485
national,0.7205374584052398,483.3324045991898,486
national,0.7213117958841216,483.3324045991898,487
national,0.7224382077816678,483.3324045991898,488
national,0.724085917899568,483.3324045991898,489
national,0.7254428567619913,483.3324045991898,490
national,0.7259639708962259,483.3324045991898,491
national,0.7263189542025127,483.3324045991898,492
national,0.7266787177694126,483.3324045991898,493
national,0.7278539652436578,483.3324045991898,494
national,0.7285260253094542,483.3324045991898,495
national,0.7289753015852465,483.3324045991898,496
national,0.7290600044590206,483.3324045991898,497
national,0.7291254106292375,483.3324045991898,498
national,0.7291908167994543,483.3324045991898,499
national,0.7294585283226043,483.3324045991898,500
national,0.7304668139445251,483.3324045991898,501
national,0.7314750995664457,483.3324045991898,502
national,0.7315798509785602,483.3324045991898,503
